IsoSMI	CID	InChI	MW	HBond_D	HBond_A	XLogP
CCCCC/C=C\C[C@H]1[C@H](O1)/C=C/C(C/C=C\CCCC(=O)O)O	5460414	InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/b9-7-,10-6-,16-15+/t17?,18-,19+/m0/s1	336.472000	2	4	4.1
CCCCC/C=C\C[C@H]1[C@@H](O1)/C=C/C(C/C=C\CCCC(=O)O)O	5283211	InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/b9-7-,10-6-,16-15+/t17?,18-,19-/m0/s1	336.472000	2	4	4.1
CCCCC/C=C\C[C@H]1C(O1)/C=C/C(C/C=C\CCCC(=O)O)O	52921899	InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/b9-7-,10-6-,16-15+/t17?,18-,19?/m0/s1	336.472000	2	4	4.1
CCCCC/C=C\CC1[C@@H](O1)/C=C/C(C/C=C\CCCC(=O)O)O	5280743	InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/b9-7-,10-6-,16-15+/t17?,18?,19-/m0/s1	336.472000	2	4	4.1
CCCCC/C=C/C[C@H]1[C@@H](O1)/C=C/C(C/C=C/CCCC(=O)O)O	90476806	InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/b9-7+,10-6+,16-15+/t17?,18-,19-/m0/s1	336.472000	2	4	4.1
CCCCC/C=C/C[C@H]1[C@@H](O1)/C=C/[C@@H](C/C=C\CCCC(=O)O)O	16760501	InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/b9-7-,10-6+,16-15+/t17-,18+,19+/m1/s1	336.472000	2	4	4.1
CC/C=C/C/C=C/CC1C(O1)/C=C/C(C/C=C/CCCC(=O)O)O	6438949	InChI=1S/C20H30O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h3-4,6-7,9-10,15-19,21H,2,5,8,11-14H2,1H3,(H,22,23)/b4-3+,9-7+,10-6+,16-15+	334.456000	2	4	3.4
CCCCC/C=C/CC1C(O1)/C=C/C(C/C=C/CCCC(=O)O)O	5353666	InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/b9-7+,10-6+,16-15+	336.472000	2	4	4.1
CCCCCC=CCC1C(O1)C=CC(CC=CCCCC(=O)O)O	3586	InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)	336.472000	2	4	4.1
CCCCC/C=C\C[C@H]1[C@@H](O1)/C=C/[C@H](C/C=C\CCCC(=O)[O-])O	121225549	InChI=1S/C20H32O4/c1-2-3-4-5-6-10-13-18-19(24-18)16-15-17(21)12-9-7-8-11-14-20(22)23/h6-7,9-10,15-19,21H,2-5,8,11-14H2,1H3,(H,22,23)/p-1/b9-7-,10-6-,16-15+/t17-,18-,19-/m0/s1	335.464000	1	4	4.7
