PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT
C=CC=O	7847	HGINCPLSRVDWNT-UHFFFAOYSA-N	C3H4O	56.064
C=O	712	WSFSSNUMVMOOMR-UHFFFAOYSA-N	CH2O	30.026
C1=CC=CC=C1	241	UHOVQNZJYSORNB-UHFFFAOYSA-N	C6H6	78.114
CC=O	177	IKHGUXGNUITLKF-UHFFFAOYSA-N	C2H4O	44.053
CC=C	8252	QQONPFPTGQHPMA-UHFFFAOYSA-N	C3H6	42.081
C=C	6325	VGGSQFUCUMXWEO-UHFFFAOYSA-N	C2H4	28.054
CCC=O	527	NBBJYMSMWIIQGU-UHFFFAOYSA-N	C3H6O	58.08
C	297	VNWKTOKETHGBQD-UHFFFAOYSA-N	CH4	16.043
C1=CC=C(C=C1)C=O	240	HUMNYLRZRPPJDN-UHFFFAOYSA-N	C7H6O	106.124
CC=CC=O	447466	MLUCVPSAIODCQM-NSCUHMNNSA-N	C4H6O	70.091
C=CC=C	7845	KAKZBPTYRLMSJV-UHFFFAOYSA-N	C4H6	54.092
[HH]	783	UFHFLCQGNIYNRP-UHFFFAOYSA-N	H2	2.016
O	24602	XLYOFNOQVPJJNP-ZSJDYOACSA-N	H2O	20.027
CC	6324	OTMSDBZUPAUEDD-UHFFFAOYSA-N	C2H6	30.07
O	962	XLYOFNOQVPJJNP-UHFFFAOYSA-N	H2O	18.015
[C]	5462310	OKTJSMMVPCPJKN-UHFFFAOYSA-N	C	12.011
CC(=C)C=O	6562	STNJBCKSHOAVAJ-UHFFFAOYSA-N	C4H6O	70.091
[HH]	119434	UFHFLCQGNIYNRP-NJFSPNSNSA-N	H2	4.024
[HH]	24824	UFHFLCQGNIYNRP-JMRXTUGHSA-N	H2	6.032
[HH]	167583	UFHFLCQGNIYNRP-OUBTZVSYSA-N	H2	3.022
O	104752	XLYOFNOQVPJJNP-PWCQTSIFSA-N	H2O	22.031
[HH]	24523	UFHFLCQGNIYNRP-VVKOMZTBSA-N	H2	4.028
CC=C=C	11535	QNRMTGGDHLBXQZ-UHFFFAOYSA-N	C4H6	54.092
C=C=C	10037	IYABWNGZIDDRAK-UHFFFAOYSA-N	C3H4	40.065
C=CC=CC=O	5356697	PPXGQLMPUIVFRE-ARJAWSKDSA-N	C5H6O	82.102
[OH-]	961	XLYOFNOQVPJJNP-UHFFFAOYSA-M	HO-	17.007
CC=CC=O	643950	MLUCVPSAIODCQM-IHWYPQMZSA-N	C4H6O	70.091
[HH]	58838673	UFHFLCQGNIYNRP-UHFFFAOYSA-N	H2	5.034
